time,open,high,low,close,Knn Classifier Line,Average Knn Classifier Line,upperBand1,upperBand2,upperBand3,lowerBand1,lowerBand2,lowerBand3,ema,ema,ema,ema,Volatility Filter,Candles (Open),Candles (High,Candles (Low),Candles (Close),Buy Entry Line,Buy Take Profit,Buy Target line,BUY Re Entry,BUY,BUY EXIT,Short Entry Line,Sell Take Profit,Sell Target line,SELL Re Entry,SELL,SELL EXIT,upperBand1,upperBand2,upperBand3,lowerBand1,lowerBand2,lowerBand3,ema,ema,ema,ema,Volatility Filter,Candles (Open),Candles (High,Candles (Low),Candles (Close),Buy Entry Line,Buy Take Profit,Buy Target line,BUY Re Entry,BUY,BUY EXIT,Short Entry Line,Sell Take Profit,Sell Target line,SELL Re Entry,SELL,SELL EXIT,Momemtum, Bullish Regular, Bullish Regular, Bullish Hidden, Bullish Hidden,Bearish Regular,Bearish Regular,Bearish Hidden,Bearish Hidden, 250, 150,-150,-250,Slow Pressure,Fast Pressure,Squeeze
2023-07-25T16:30:00Z,455.37,455.555,455.27,455.45,454.1582222222222,452.9426615804661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.37,455.555,455.27,455.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.57849977602467,456.07337152441113,456.56824327279753,453.59901278247884,453.1041410340924,452.609269285706,455.29327672565626,455.2289136300714,455.1442968625132,455.07038952227254,452.60326800044254,455.37,455.555,455.27,455.45,455.52,NaN,456.16663905042316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.73777013724422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,81.37033948541892,101.67602566967994,0
2023-07-25T16:45:00Z,455.47,455.89,455.41,455.89,454.1780999999999,452.96790501552346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.47,455.89,455.41,455.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.61868392235294,456.11281208332,456.60694024428716,453.6421712784844,453.1480431175173,452.6539149565502,455.40177186644604,455.33061922544505,455.2375097546991,455.1566643094017,452.60326800044254,455.47,455.89,455.41,455.89,455.52,NaN,456.16663905042316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.41797944871717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,90.99529220989616,125.21051711321977,0
2023-07-25T17:00:00Z,455.9,456.075,455.53,455.84,454.1983222222222,452.9930835818797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.9,456.075,455.53,455.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.72152825399445,456.21820000691326,456.714871759832,453.7348412423194,453.2381694894006,452.74149773648185,455.52417698163765,455.44513934460736,455.3421960353617,455.25333122420153,452.60326800044254,455.9,456.075,455.53,455.84,455.52,NaN,456.16663905042316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.80612252244683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,94.7560467745786,121.2655456379465,0
2023-07-25T17:15:00Z,455.84,456.12,455.81,455.99,454.21534444444444,453.0179652435755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.84,456.12,455.81,455.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.75180113525414,456.239139300527,456.7264774657998,453.8024484741628,453.31511030889,452.82777214361715,455.6325084395217,455.5489640608216,455.4394215309415,455.34455951639086,452.60326800044254,455.84,456.12,455.81,455.99,455.52,NaN,456.16663905042316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.14303277966806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,98.78574419630223,122.11473718229526,0
2023-07-25T17:30:00Z,456,456.13,455.875,456.08,454.2318333333333,453.04266260537065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456,456.13,455.875,456.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.7816872840054,456.25740854101457,456.73312979802375,453.87880225596865,453.40308099895947,452.9273597419503,455.72296145051774,455.6383542053106,455.5257438395738,455.42723746203393,452.9630655540884,456,456.13,455.875,456.08,455.52,NaN,456.16663905042316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.68573295474141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,101.95056172586263,121.5271020427601,0
2023-07-25T17:45:00Z,456.08,456.08,455.765,455.82,454.24914444444437,453.0672326865965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.08,456.08,455.765,455.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.8635015196821,456.33118671384085,456.79887190799957,453.9927607430472,453.5250755488884,453.0573903547297,455.7878775504236,455.70629971218585,455.59502585962707,455.4959493081356,452.9630655540884,456.08,456.08,455.765,455.82,455.52,NaN,456.16663905042316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.79550426718767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,97.40436106929366,95.82712958631997,0
2023-07-25T18:00:00Z,455.81,456.09,455.71,456.09,454.2711222222223,453.0919780328646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.81,456.09,455.71,456.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,455.97460531395853,456.4379062484093,456.90120718286016,454.1214015761554,453.6581006417046,453.19479970725376,455.842808904892,455.76533052569573,455.6568976271737,455.5584809599108,452.9630655540884,455.81,456.09,455.71,456.09,455.52,NaN,456.16663905042316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.24150933983177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,98.17605808682502,99.3166848891666,0
2023-07-25T18:15:00Z,456.09,456.46,455.98,456.38,454.29690000000005,453.1168551388739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.09,456.46,455.98,456.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.22335982662025,456.68749571434853,457.15163160207675,454.36681627570727,453.902680387979,453.43854450025077,455.9550254676389,455.8722027525118,455.757285423777,455.65337770097284,452.9630655540884,456.09,456.46,455.98,456.38,455.52,456.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.42795664660002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,103.28264205937649,116.61941539192594,0
2023-07-25T18:30:00Z,456.39,456.73,456.35,456.64,454.3256333333333,453.1418480360964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.39,456.73,456.35,456.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.37404529593437,456.83397438927625,457.2939034826181,454.53432892256706,454.0743998292252,453.61447073588334,456.0959299280682,456.0041715598177,455.87887474580486,455.7667063640283,453.37826775321804,456.39,456.73,456.35,456.64,455.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.74318897687316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,150,-150,-250,111.4032391768245,138.37311863671925,0
2023-07-25T18:45:00Z,456.64,456.67,455.77,455.83,454.35485555555556,453.1668877420411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.64,456.67,455.77,455.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.50830591319664,456.99023855187136,457.47217119054613,454.58057535849764,454.0986427198229,453.61671008114814,456.20030630478306,456.1066067044611,455.9777654025793,455.8617899046569,453.37826775321804,456.64,456.67,455.77,455.83,455.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.2943194767563,NaN,NaN,NaN,NaN,90.2943194767563,NaN,90.2943194767563,NaN,250,150,-150,-250,95.24429047879241,68.33185846365954,0
